Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!"
2/12/2026 18:58:26,Divorced or Annulled,25,27,Both our parents are Divorced,No,No,Mutual friends,6 months–1 year,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Bad,Bad,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Self-Improvement, Health and Fitness, Community","Career Ambition, Family, Security/Stability",
2/13/2026 20:30:11,Married or Widowed,25,26,Both our parents are Married,No,No,Family introduction,<6 months,No,No,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Both wanted children,We share the same views,Good,Bad,Single income,Mostly aligned,Both Introverts,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Family, Security/Stability, Health and Fitness","
How is your sex life?  How well do you communicate with your spouse? "
2/14/2026 13:50:01,Married or Widowed,41,41,Both our parents are Divorced,No,Yes,Online (e.g. Dating App),4+ years,Yes,No,Ambivalent,Half - one of us does,Same beliefs but different practices,No,Both ambivalent or undecided,We share the same views,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Security/Stability","Career Ambition, Adventure/Trying New Things, Health and Fitness",
2/14/2026 16:47:29,Married or Widowed,36,33,Both our parents are Married,No,No,Mutual friends,2–4 years,No,Yes,Ambivalent,Half - one of us does,Different beliefs but accepting,Yes,Both ambivalent or undecided,We share the same views,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Career Ambition, Family, Adventure/Trying New Things","Career Ambition, Family, Self-Improvement",
2/14/2026 17:53:13,Married or Widowed,25,26,Both our parents are Married,No,No,Met in USA,4+ years,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We both avoid discussing politics,Good,Good,Dual income,Mostly aligned,Mixed - One of each,No,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Faith and Spirituality","Career Ambition, Family, Faith and Spirituality",
2/14/2026 18:19:39,Married or Widowed,27,27,Both our parents are Married,No,Yes,Mutual friends,2–4 years,No,No,"Half - One was ambivalent, one wanted marriage",Yes - we both do,Different beliefs altogether,Yes,Both wanted children,We both avoid discussing politics,Good,Good,Dual income,Mostly aligned,Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Family, Adventure/Trying New Things, Travel",
2/14/2026 18:32:28,Married or Widowed,25,26,Both our parents are Married,No,No,Mutual friends,1–2 years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Health and Fitness","Career Ambition, Family, Health and Fitness",
2/14/2026 18:52:05,Married or Widowed,30,30,Both our parents are Married,No,Yes,Workplace,4+ years,Yes,Yes,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We share the same views,Bad,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Adventure/Trying New Things, Health and Fitness","Career Ambition, Faith and Spirituality, Self-Improvement, Travel",
2/14/2026 19:14:14,Married or Widowed,33,29,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,1–2 years,No,No,Ambivalent,Yes - we both do,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,We both avoid discussing politics,Good,Good,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,Faith and Spirituality,Career Ambition,
2/14/2026 19:21:10,Married or Widowed,25,27,"One set of parents are Married, the other Divorced",No,Yes,Workplace,2–4 years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,No,Both ambivalent or undecided,We share the same views,Good,Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We both love and/or own pets,"Career Ambition, Family, Adventure/Trying New Things, Security/Stability","Career Ambition, Family, Adventure/Trying New Things, Security/Stability",
2/14/2026 19:22:02,Married or Widowed,32,32,Both our parents are Married,No,No,School,2–4 years,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Good,Good,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not",Family,Family,
2/14/2026 19:25:07,Married or Widowed,28,29,Both our parents are Married,No,No,Religious Place of Worship,4+ years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We share the same views,Very Good,Very Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Faith and Spirituality","Family, Security/Stability, Health and Fitness",
2/14/2026 19:25:15,Married or Widowed,31,34,Both our parents are Married,No,Yes,Workplace,2–4 years,Yes,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We share the same views,Good,Good,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Faith and Spirituality, Adventure/Trying New Things","Family, Faith and Spirituality, Adventure/Trying New Things",
2/14/2026 19:30:41,Married or Widowed,27 years,27,Both our parents are Married,No,Yes,School,4+ years,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Good,Good,Single income,Mostly aligned,Mixed - One of each,Yes,Somewhat,"Mixed - One of us love pets, the other does not",Family,Family,
2/14/2026 19:35:35,Married or Widowed,26,27,Both our parents are Married,No,No,Cc events ,4+ years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,Family,Family,
2/14/2026 19:41:22,Married or Widowed,24,27,Both our parents are Married,No,Yes,School,2–4 years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Career Ambition, Family, Community",
2/14/2026 19:44:42,Married or Widowed,28,28,"One set of parents are Married, the other Divorced",No,No,School,4+ years,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Dual income,Mostly aligned,Both Extroverts,Yes,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Self-Improvement","Family, Security/Stability, Health and Fitness",
