Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!",Age Gap (years),age_gap,meet_clean,inlaw_you_score,inlaw_spouse_score,inlaw_mean_score,inlaw_min_score,inlaw_gap_score,inlaw_joint_cat,inlaw_mean_band,inlaw_min_band,inlaw_gap_band,inlaw_pair_profile,rel_length_ord,children_bin,values_overlap_count,overlap_0,overlap_1,overlap_2,overlap_3,me_values_set,spouse_values_set,me_has__adventure_trying_new_things,spouse_has__adventure_trying_new_things,both_have__adventure_trying_new_things,mismatch__adventure_trying_new_things,me_has__career_ambition,spouse_has__career_ambition,both_have__career_ambition,mismatch__career_ambition,me_has__community,spouse_has__community,both_have__community,mismatch__community,me_has__faith_and_spirituality,spouse_has__faith_and_spirituality,both_have__faith_and_spirituality,mismatch__faith_and_spirituality,me_has__family,spouse_has__family,both_have__family,mismatch__family,me_has__health_and_fitness,spouse_has__health_and_fitness,both_have__health_and_fitness,mismatch__health_and_fitness,me_has__security_stability,spouse_has__security_stability,both_have__security_stability,mismatch__security_stability,me_has__self_improvement,spouse_has__self_improvement,both_have__self_improvement,mismatch__self_improvement,me_has__travel,spouse_has__travel,both_have__travel,mismatch__travel,values_union_count,values_mismatch_count,values_jaccard,values_cosine
2/12/2026 18:58:26,Divorced or Annulled,25,27,Both our parents are Divorced,No,No,Mutual friends,6 monthsâ1 year,No,Yes,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Bad,Bad,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Self-Improvement, Health and Fitness, Community","Career Ambition, Family, Security/Stability",,2.0,2,Mutual Friends,2,2,2.0,2,0,Bad | Bad,Low,Low,Aligned (0),Both strained,,1,0,1,0,0,0,"{'self-improvement', 'community', 'health and fitness'}","{'security/stability', 'career ambition', 'family'}",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,6,6,0.0,0.0
2/13/2026 20:30:11,Married or Widowed,25,26,Both our parents are Married,No,No,Family introduction,<6 months,No,No,Both wanted marriage,Half - one of us does,Same beliefs but different practices,Yes,Both wanted children,We share the same views,Good,Bad,Single income,Mostly aligned,Both Introverts,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Family, Security/Stability, Health and Fitness","
How is your sex life?  How well do you communicate with your spouse? ",1.0,1,Family Introduction,4,2,3.0,2,2,Good | Bad,Neutral,Low,Large mismatch (2+),Large mismatch,0.0,1,2,0,0,1,0,"{'security/stability', 'career ambition', 'family'}","{'health and fitness', 'security/stability', 'family'}",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0.5,0.6666666666666666
2/14/2026 13:50:01,Married or Widowed,41,41,Both our parents are Divorced,No,Yes,Online (e.g. Dating App),4+ years,Yes,No,Ambivalent,Half - one of us does,Same beliefs but different practices,No,Both ambivalent or undecided,We share the same views,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Security/Stability","Career Ambition, Adventure/Trying New Things, Health and Fitness",,0.0,0,Dating App / Online,3,3,3.0,3,0,Neutral | Neutral,Neutral,Neutral,Aligned (0),Mixed/neutral,4.0,0,0,1,0,0,0,"{'faith and spirituality', 'security/stability', 'family'}","{'adventure/trying new things', 'career ambition', 'health and fitness'}",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,6,0.0,0.0
2/14/2026 16:47:29,Married or Widowed,36,33,Both our parents are Married,No,No,Mutual friends,2â4 years,No,Yes,Ambivalent,Half - one of us does,Different beliefs but accepting,Yes,Both ambivalent or undecided,We share the same views,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Career Ambition, Family, Adventure/Trying New Things","Career Ambition, Family, Self-Improvement",,3.0,-3,Mutual Friends,5,5,5.0,5,0,Very Good | Very Good,High,High,Aligned (0),Both positive,,1,2,0,0,1,0,"{'adventure/trying new things', 'career ambition', 'family'}","{'self-improvement', 'career ambition', 'family'}",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0.5,0.6666666666666666
2/14/2026 17:53:13,Married or Widowed,25,26,Both our parents are Married,No,No,Met in USA,4+ years,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We both avoid discussing politics,Good,Good,Dual income,Mostly aligned,Mixed - One of each,No,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Faith and Spirituality","Career Ambition, Family, Faith and Spirituality",,1.0,1,Other,4,4,4.0,4,0,Good | Good,High,High,Aligned (0),Both positive,4.0,1,3,0,0,0,1,"{'faith and spirituality', 'career ambition', 'family'}","{'faith and spirituality', 'career ambition', 'family'}",0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,1.0
2/14/2026 18:19:39,Married or Widowed,27,27,Both our parents are Married,No,Yes,Mutual friends,2â4 years,No,No,"Half - One was ambivalent, one wanted marriage",Yes - we both do,Different beliefs altogether,Yes,Both wanted children,We both avoid discussing politics,Good,Good,Dual income,Mostly aligned,Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Family, Adventure/Trying New Things, Travel",,0.0,0,Mutual Friends,4,4,4.0,4,0,Good | Good,High,High,Aligned (0),Both positive,,1,1,0,1,0,0,"{'security/stability', 'career ambition', 'family'}","{'adventure/trying new things', 'travel', 'family'}",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,5,4,0.2,0.3333333333333333
2/14/2026 18:32:28,Married or Widowed,25,26,Both our parents are Married,No,No,Mutual friends,1â2 years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Health and Fitness","Career Ambition, Family, Health and Fitness",,1.0,1,Mutual Friends,4,4,4.0,4,0,Good | Good,High,High,Aligned (0),Both positive,,1,3,0,0,0,1,"{'health and fitness', 'career ambition', 'family'}","{'health and fitness', 'career ambition', 'family'}",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,1.0
2/14/2026 18:52:05,Married or Widowed,30,30,Both our parents are Married,No,Yes,Workplace,4+ years,Yes,Yes,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We share the same views,Bad,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Adventure/Trying New Things, Health and Fitness","Career Ambition, Faith and Spirituality, Self-Improvement, Travel",,0.0,0,Workplace,2,4,3.0,2,2,Bad | Good,Neutral,Low,Large mismatch (2+),Large mismatch,4.0,1,1,0,1,0,0,"{'faith and spirituality', 'health and fitness', 'family', 'adventure/trying new things'}","{'faith and spirituality', 'self-improvement', 'career ambition', 'travel'}",1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,7,6,0.14285714285714285,0.25
2/14/2026 19:14:14,Married or Widowed,33,29,"One set of parents are Married, the other Divorced",No,Yes,Mutual friends,1â2 years,No,No,Ambivalent,Yes - we both do,Different beliefs but accepting,Yes,Mixed views,We both avoid discussing politics,Good,Good,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,Faith and Spirituality,Career Ambition,,4.0,-4,Mutual Friends,4,4,4.0,4,0,Good | Good,High,High,Aligned (0),Both positive,,1,0,1,0,0,0,{'faith and spirituality'},{'career ambition'},0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
2/14/2026 19:21:10,Married or Widowed,25,27,"One set of parents are Married, the other Divorced",No,Yes,Workplace,2â4 years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,No,Both ambivalent or undecided,We share the same views,Good,Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We both love and/or own pets,"Career Ambition, Family, Adventure/Trying New Things, Security/Stability","Career Ambition, Family, Adventure/Trying New Things, Security/Stability",,2.0,2,Workplace,4,4,4.0,4,0,Good | Good,High,High,Aligned (0),Both positive,,0,4,0,0,0,1,"{'adventure/trying new things', 'security/stability', 'career ambition', 'family'}","{'adventure/trying new things', 'security/stability', 'career ambition', 'family'}",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1.0,1.0
